Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Chicken,89,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,447,21,48,43,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,4,10,75
Broccoli,79,ounces,Vegetables,Broccoli Salad,Lunch,Medium,445,11,10,7,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,12,14
Rice,134,cups,Grains,Tomato Soup,Soup,Medium,202,46,31,37,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,2,17,88
Tomato,117,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,476,40,6,6,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,58,82
Spinach,135,slices,Dairy,Rice Pilaf,Snack,Hard,372,6,36,40,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,38,24
Beef,167,grams,Proteins,Beef Stir-Fry,Dinner,Medium,405,35,9,32,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,4,10,33
Lettuce,178,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,444,19,35,44,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,21,21
Potato,95,cups,Grains,Mashed Potatoes,Side Dish,Medium,208,38,41,13,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,31,67
Carrot,172,pieces,Vegetables,Carrot Soup,Soup,Medium,192,9,31,45,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,39,29
Onion,76,slices,Vegetables,Onion Rings,Snack,Medium,484,38,14,5,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,34,92
Chicken,52,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,487,18,17,40,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,60,118
Broccoli,92,ounces,Vegetables,Broccoli Salad,Lunch,Medium,199,33,15,10,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,2,52,69
